cod_local;s_nombre_sala.x2018;s_nombre_sala.y2019
961;UNIM - ANTOFAGASTA, LA CHIMBA II PA CERDA 11387;UNIM - ANTOFAGASTA, LA CHIMBA II PA CERDA 11387
917;UNIM - LO BARNECHEA, MALL VIVO LOS TRAPENSES;UNIM - LO BARNECHEA, MALL VIVO LOS TRAPENSES
905;UNIM - LA FLORIDA, VICENTE VALDES;UNIM - LA FLORIDA, VICENTE VALDES
641;UNIM - VICUNA, CHACABUCO;UNIM - VICUNA, CHACABUCO
465;UNIM - PUERTO NATALES, MANUEL BULNES;UNIM - PUERTO NATALES, MANUEL BULNES
463;UNIM - PTA ARENAS, BORIES;UNIM - PTA ARENAS, BORIES
46;UNIM - CALAMA, GRANADEROS;UNIM - CALAMA, GRANADEROS
458;UNIM - PTA ARENAS, ESPANA;UNIM - PTA ARENAS, ESPANA
347;UNIM - MAIPU, ALFREDO SILVA CARVALLO;UNIM - MAIPU, ALFREDO SILVA CARVALLO
326;UNIM - LAS CONDES, APOQUINDO;UNIM - LAS CONDES, APOQUINDO
32;UNIM - COPIAPO, CHACABUCO;UNIM - COPIAPO, CHACABUCO
22;UNIM - COPIAPO, LOS CARRERA 2242;UNIM - COPIAPO, LOS CARRERA 2242
18;UNIM - EL SALVADOR, OHIGGINS;UNIM - EL SALVADOR, OHIGGINS
362;UNIM - VITACURA, LAS TRANQUERAS;NA
606;OKM - LAS CONDES, SUBCENTRO ESCUELA MILITAR;OKM - LAS CONDES, SUBCENTRO ESCUELA MILITAR
469;UNIM - LAS CONDES, MILITARES;UNIM - LAS CONDES, MILITARES
34;UNIM - ANTOFAGASTA, LA CHIMBA PA CERDA 8700;UNIM - ANTOFAGASTA, LA CHIMBA PA CERDA 8700
619;OKM - RECOLETA, AV. PERU;OKM - RECOLETA, AV. PERU
107;UNIM - OVALLE, BENAVENTE;UNIM - OVALLE, BENAVENTE
563;OKM - COLINA, LOS PINOS;OKM - COLINA, LOS PINOS
327;UNIM - LAS CONDES, MANQUEHUE;UNIM - LAS CONDES, MANQUEHUE
926;UNIM - VITACURA, VESPUCIO;UNIM - VITACURA, VESPUCIO
645;UNIM - RANCAGUA, MEMBRILLAR;UNIM - RANCAGUA, MEMBRILLAR
111;UNIM - CALAMA, ACONCAGUA;UNIM - CALAMA, ACONCAGUA
573;UNIM - OVALLE, LIBERTAD;UNIM - OVALLE, LIBERTAD
481;UNIM - CONCHALI, DORSAL;UNIM - CONCHALI, DORSAL
153;OKM - CERRILLOS, MALL PLAZA OESTE;OKM - CERRILLOS, MALL PLAZA OESTE
631;OKM - LAS CONDES, ENCOMENDEROS;OKM - LAS CONDES, ENCOMENDEROS
488;OKM - LA REINA, CARLOS OSSANDON;OKM - LA REINA, CARLOS OSSANDON
9212;TLM - CD VENTA ONLINE (A. VESPUCIO);TLM - CD VENTA ONLINE (A. VESPUCIO)
596;OKM - PROVIDENCIA, NUEVA PROVIDENCIA 2671;OKM - PROVIDENCIA, NUEVA PROVIDENCIA 2671
475;UNIM - SANTIAGO, ESTADO;UNIM - SANTIAGO, ESTADO
903;UNIM - HUECHURABA, PEDRO FONTOVA;UNIM - HUECHURABA, PEDRO FONTOVA
28;UNIM - ANTOFAGASTA, JM CARRERA;UNIM - ANTOFAGASTA, JM CARRERA
604;OKM - SANTIAGO, ALAMEDA 1881;OKM - SANTIAGO, ALAMEDA 1881
490;OKM - LO BARNECHEA, JOSE ALCALDE DELANO;OKM - LO BARNECHEA, JOSE ALCALDE DELANO
5;UNIM - LA SERENA, NICARAGUA;UNIM - LA SERENA, NICARAGUA
963;UNIM - LA SERENA, FLORIDA;UNIM - LA SERENA, FLORIDA
623;OKM - LAS CONDES, CHESTERTON;OKM - LAS CONDES, CHESTERTON
499;OKM - LAS CONDES, MANQUEHUE SUR 1581;OKM - LAS CONDES, MANQUEHUE SUR 1581
644;UNIM - RANCAGUA, REPUBLICA DE CHILE;UNIM - RANCAGUA, REPUBLICA DE CHILE
30;UNIM - LA SERENA, BALMACEDA;UNIM - LA SERENA, BALMACEDA
699;OKM - HUECHURABA, AV. DEL VALLE;OKM - HUECHURABA, AV. DEL VALLE
25;UNIM - COPIAPO, EL PALOMAR;UNIM - COPIAPO, EL PALOMAR
911;UNIM - MAIPU, 4 PONIENTE;UNIM - MAIPU, 4 PONIENTE
562;OKM - LAS CONDES, COLON 4317;OKM - LAS CONDES, COLON 4317
472;UNIM - CALDERA, BATALLON ATACAMA;UNIM - CALDERA, BATALLON ATACAMA
595;OKM - PROVIDENCIA, NUEVA PROVIDENCIA 1363;OKM - PROVIDENCIA, NUEVA PROVIDENCIA 1363
636;OKM - PROVIDENCIA, PROVIDENCIA 75;OKM - PROVIDENCIA, PROVIDENCIA 75
357;UNIM - NUNOA, GRECIA;UNIM - NUNOA, GRECIA
594;OKM - LAS CONDES, NORUEGA;OKM - LAS CONDES, NORUEGA
912;UNIM - LA FLORIDA, ROJAS MAGELLANES;UNIM - LA FLORIDA, ROJAS MAGELLANES
324;UNIM - RANCAGUA, MIGUEL RAMIREZ;UNIM - RANCAGUA, MIGUEL RAMIREZ
333;UNIM - NUNOA, LOS LEONES;UNIM - NUNOA, LOS LEONES
459;UNIM - PARA ARENAS, SALVADOR ALLENDE;UNIM - PARA ARENAS, SALVADOR ALLENDE
667;OKM - VITACURA, LUIS CARRERA 2247;OKM - VITACURA, LUIS CARRERA 2247
9;UNIM - COQUIMBO, VARELA;UNIM - COQUIMBO, VARELA
626;UNIM - LA SERENA, EL MILAGRO;UNIM - LA SERENA, EL MILAGRO
11;UNIM - COQUIMBO, ALESSANDRI;UNIM - COQUIMBO, ALESSANDRI
14;UNIM - COPIAPO, HENRIQUEZ EL PALOMAR;UNIM - COPIAPO, HENRIQUEZ EL PALOMAR
328;UNIM - SAN MIGUEL, JM CARRERA 5485;UNIM - SAN MIGUEL, JM CARRERA 5485
560;OKM - LAS CONDES, ROSARIO NORTE;OKM - LAS CONDES, ROSARIO NORTE
797;UNIM - RENCA, BRASIL;UNIM - RENCA, BRASIL
953;UNIM - PENALOLEN, CONSISTORIAL;UNIM - PENALOLEN, CONSISTORIAL
27;UNIM - ANTOFAGASTA, PAMPINO;UNIM - ANTOFAGASTA, PAMPINO
980;UNIM - MAIPU, EL ROSAL;UNIM - MAIPU, EL ROSAL
3094;ALVI - RANCAGUA, BOMBERO RUIDIAZ;ALVI - RANCAGUA, BOMBERO RUIDIAZ
3031;M10 - COLINA, SAN MARTIN;M10 - COLINA, SAN MARTIN
3097;ALVI - LO PRADO, SAN PABLO;ALVI - LO PRADO, SAN PABLO
3090;ALVI - QUILICURA, SAN MARTIN;ALVI - QUILICURA, SAN MARTIN
3059;M10 - SAN BERNARDO, PORTALES ORIENTE;M10 - SAN BERNARDO, PORTALES ORIENTE
3055;M10 - LA FLORIDA, ROJAS MAGELLANES;M10 - LA FLORIDA, ROJAS MAGELLANES
